ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold3:32279067-32279093,0.246766098703521,0.0207959283145769,0.206716389976143,1.09202952884791,0.396812655794526,4,4.5598714979583,0.880257004083402,4.07554365215969,0.427316658847688,10
PGA_scaffold3:32329148-32329181,0.666435726926705,0.57546365245217,0.104491192959535,7.32571759824224,0.00569962544161418,4,14.9218712996293,-19.8437425992586,-16.3034915937475,0.120102503467175,11
PGA_scaffold3:43414196-43414297,0.553048742147773,0.441310927684716,0.0783788686718465,4.94952174253082,0.0183445796683764,4,20.3376547715871,-30.6753095431742,-26.8123659319753,0.0737189646513427,12
PGA_scaffold3:47868223-47868247,0.232774038901845,0.023530594965985,0.195941858608968,1.11245559011731,0.385576114280694,4,5.49114351682958,-0.982287033659164,2.55796397185189,0.422325331506503,11
PGA_scaffold3:54310800-54310984,0.523228923566878,0.404036154458598,0.0844721744272908,4.38977068392087,0.0264557865278212,4,19.13976957742,-28.27953915484,-24.416595543641,0.0856265790296957,12
PGA_scaffold4:10439160-10439195,0.191080880030334,-0.029533425415939,0.24856480456006,0.866130959385445,0.48753150173898,4,1.92285923179189,6.15428153641622,9.69453254192727,0.67962908272579,11
PGA_scaffold4:14813835-14813882,0.508992252768667,0.375081048978304,0.166163756688142,3.8009683907068,0.0430852815572235,4,7.96380632635974,-5.92761265271947,-2.38736164720842,0.303714334403878,11
PGA_scaffold4:17918583-17918620,0.243792757193182,0.016930584351136,0.354202516145893,1.07462938461285,0.403279354560966,4,-2.97942350970286,15.9588470194057,19.154133667482,1.25459422444081,10
PGA_scaffold4:19023657-19023701,0.12364274438023,-0.115363779879707,0.121634240750846,0.517319536623859,0.678887578891581,4,12.6431354236931,-15.2862708473863,-11.7460198418752,0.162743773753383,11
PGA_scaffold4:45510381-45510400,0.288569651397558,0.0751405468168248,0.151887561570673,1.35206326224548,0.312623170383624,4,8.87477280876447,-7.74954561752893,-4.55425896945264,0.230698313598851,10
PGA_scaffold5:16689280-16689305,0.355364331019078,0.194205413773848,0.0877102218689968,2.20505533974475,0.140257556689483,4,18.537909351497,-27.0758187029941,-23.2128750917952,0.0923169962437037,12
PGA_scaffold5:21513416-21513443,0.799710985443038,0.739624281075949,0.0781176897116204,13.3092835406207,0.000796277464140077,4,18.1837086494121,-26.3674172988243,-23.172130650748,0.0610237344588101,10
PGA_scaffold5:47724288-47724308,0.297295879681726,0.105649301413105,0.307798507101767,1.55127152473874,0.256552280427817,4,-1.28326741862929,12.5665348372586,16.1067858427696,1.04213913071484,11
PGA_scaffold5:49645620-49645816,0.688128517343169,0.60307265843676,0.19502795316066,8.09031295657543,0.00398787242820941,4,5.56126968146034,-1.12253936292067,2.41771164259038,0.418394927654402,11
